dataset,fragment,events,generator
GluGluHToDarkShowers_VP_mA-20_ctau-1_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_20_ctau_1_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-10_ctau-100_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_10_ctau_100_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-10_ctau-50_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_10_ctau_50_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-20_ctau-10_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_20_ctau_10_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-15_ctau-100_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_15_ctau_100_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-5_ctau-500_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_5_ctau_500_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-5_ctau-1_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_5_ctau_1_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-20_ctau-500_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_20_ctau_500_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-2_ctau-10_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_2_ctau_10_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-5_ctau-100_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_5_ctau_100_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-10_ctau-500_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_10_ctau_500_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-20_ctau-100_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_20_ctau_100_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-2_ctau-50_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_2_ctau_50_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-5_ctau-50_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_5_ctau_50_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-15_ctau-50_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_15_ctau_50_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-2_ctau-100_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_2_ctau_100_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-10_ctau-10_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_10_ctau_10_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-15_ctau-500_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_15_ctau_500_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-15_ctau-10_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_15_ctau_10_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-5_ctau-10_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_5_ctau_10_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-2_ctau-1_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_2_ctau_1_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-20_ctau-50_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_20_ctau_50_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-10_ctau-1_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_10_ctau_1_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-15_ctau-1_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_15_ctau_1_xiO_1_xiL_1_cfi.py,500000,pythia
GluGluHToDarkShowers_VP_mA-2_ctau-500_TuneCP5_13TeV_pythia8,genFragments/dqcd/hiddenValleyGridPack_vector_m_2_ctau_500_xiO_1_xiL_1_cfi.py,500000,pythia
